id,name,station,dateTime,cancelled,direction,delay,platform
2|#VN#1#ST#1730325184#PI#0#ZI#485710#TA#0#DA#11124#1S#8000080#1T#836#LS#8103000#LT#1932#PU#80#RT#1#CA#ICE#ZE#27#ZB#ICE   27#PC#0#FR#8000080#FT#836#TO#8103000#TT#1932#,ICE 27,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:22:00+01:00,False,Wien Hbf,0 days 00:15:00,9
2|#VN#1#ST#1730325184#PI#0#ZI#409365#TA#6#DA#11124#1S#8002041#1T#1213#LS#8002108#LT#1250#PU#80#RT#1#CA#s#ZE#5#ZB#S      5#PC#4#FR#8002041#FT#1213#TO#8002108#TT#1250#,S 5,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:24:00+01:00,False,Friedrichsdorf(Taunus),0 days 00:01:00,104
2|#VN#1#ST#1730325184#PI#0#ZI#417687#TA#0#DA#11124#1S#8000105#1T#1225#LS#8000369#LT#1418#PU#80#RT#1#CA#DPN#ZE#25169#ZB#VIA25169#PC#3#FR#8000105#FT#1225#TO#8000369#TT#1418#,VIA25169,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:25:00+01:00,False,Eberbach,0 days 00:05:00,12
2|#VN#1#ST#1730325184#PI#0#ZI#380942#TA#0#DA#11124#1S#8000105#1T#1226#LS#8000115#LT#1349#PU#80#RT#1#CA#RE#ZE#4514#ZB#RE  4514#PC#3#FR#8000105#FT#1226#TO#8000115#TT#1349#,RE 4514,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:26:00+01:00,False,Fulda,0 days 00:01:00,6
2|#VN#1#ST#1730325184#PI#0#ZI#409519#TA#4#DA#11124#1S#8000111#1T#1147#LS#8002041#LT#1237#PU#80#RT#1#CA#s#ZE#6#ZB#S      6#PC#4#FR#8000111#FT#1147#TO#8002041#TT#1237#,S 6,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:27:00+01:00,False,Frankfurt(Main)Süd,0 days 00:02:00,101
2|#VN#1#ST#1730325184#PI#0#ZI#374905#TA#0#DA#11124#1S#8000105#1T#1229#LS#8003041#LT#1306#PU#80#RT#1#CA#RB#ZE#15258#ZB#RB 15258#PC#3#FR#8000105#FT#1229#TO#8003041#TT#1306#,RB 15258,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:29:00+01:00,False,Idstein(Taunus),0 days 00:01:00,21
2|#VN#1#ST#1730325184#PI#0#ZI#409265#TA#2#DA#11124#1S#8003523#1T#1204#LS#8003447#LT#1251#PU#80#RT#1#CA#s#ZE#4#ZB#S      4#PC#4#FR#8003523#FT#1204#TO#8003447#TT#1251#,S 4,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:29:00+01:00,False,Kronberg(Taunus),0 days 00:03:00,104
2|#VN#1#ST#1730325184#PI#0#ZI#410263#TA#5#DA#11124#1S#8000250#1T#1139#LS#8000150#LT#1259#PU#80#RT#1#CA#s#ZE#9#ZB#S      9#PC#4#FR#8000250#FT#1139#TO#8000150#TT#1259#,S 9,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:29:00+01:00,False,Hanau Hbf,0 days 00:02:00,102
2|#VN#1#ST#1730325184#PI#0#ZI#414382#TA#0#DA#11124#1S#8000105#1T#1229#LS#8000337#LT#1409#PU#80#RT#1#CA#DPN#ZE#15014#ZB#HLB15014#PC#3#FR#8000105#FT#1229#TO#8000337#TT#1409#,HLB15014,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:29:00+01:00,False,Marburg(Lahn),0 days 00:03:00,15
2|#VN#1#ST#1730325184#PI#0#ZI#479856#TA#0#DA#11124#1S#8000105#1T#1229#LS#8000074#LT#1422#PU#80#RT#1#CA#DPN#ZE#15114#ZB#HLB15114#PC#3#FR#8000105#FT#1229#TO#8000074#TT#1422#,HLB15114,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:29:00+01:00,False,Dillenburg,0 days 00:02:00,15
